Job_Description,CV_Text,Label
"לקניון באר יעקב דרושים /ות מאבטחים /ות חמושים /ות בשיטה פרואקטיבית - בשכר גבוה! לקניון באר יעקב דרושים/ות מאבטחים/ות חמושים/ות בשיטה פרואקטיביתמשמרות א'-ה' שישי בוקר ומוצ""ששכר של 51 ש""ח לשעהתנאים סוציאליים מלאים כולל קה""שלבעלי קורס רמה א' בתוקף יינתן מענקהגעה עצמית למקוםדרישות: תעודת קורס רמה א' בתוקף - יתרון משמעותינכונות ליציאה לקורס 6 ימיםזמינות מידית המשרה מיועדת לנשים ולגברים כאחד.",נציג/ת שירות ומכירה עם ניסיון במתן מענה פרונטלי וטלפוני ללקוחות.,0
"מעצב /ת מוצר למחלקת פיתוח מוצרים תיאור התפקיד ותחומי אחריות:מעצב/ת מוצר שיצטרף לצוות הפרודקט של אפליקציות הצפייה של yes ויעבוד בצמוד למעצב מוצר וותיק ומנהלי המוצר, תוך התמקדות במשימות שוטפות ואופרטיביות.התפקיד כולל מחקר מעמיק, סקירת שוק, עיצוב חוויית משתמש, עיצוב מסכים בהתאם ל Guidelines-קיימים ותחזוקה שוטפת של ממשק טלוויזיה ומובייל.דרישות: - שליטה בכלי עיצוב רלוונטיים: Figma וכלי אדוביPhotoshop, Illustrator, Indesing))- יכולת עבודה לפי Design  system והנחיות מותג קיימות- ירידה לפרטים ודיוק - חשוב כי הרבה מהעבודה תהיה שוטפת ועדכנית- יכולת עבודה בצוות וקבלת פידבק- יכולות מחקר מעמיק וביצוע אפיון לתהליכים מורכבים- תקשורת טובה מול אנשי פיתוח ומנהלי מוצר- יכולת עמידה בזמנים- ידע בסיסי ב-After Effects או אנימציה (אם יש צורך בהנפשות לממשק)- יכולת ליזום ולשפר תהליכים- היכרות ושליטה עם כלי AI- רקע לימודי בתחום  UX /  UI -חובה המשר","מעצב/ת גרפי/ת עם ניסיון ב-Photoshop ו-Illustrator, יצירתי/ת ומדויק/ת.",1
"אח /ות למוקד ילדים טלפוני מתן מענה למבוטחים במגוון נושאים בתחום רפואת ילדים. עבודה היברידית לאחר תקופת הכשרה. עבודה בצוות רב מקצועי. מינימום 18-20 שעות שבועיות, בפריסה למשמרות על פני השבוע.דרישות: אח/ות מוסמכ/ת בעל/ת רישיון קבוע לעסוק בסיעוד - חובה. בעל/ת תעודת תואר ראשון בסיעוד/  מנהל מערכות בריאות - חובה. ניסיון של 3 שנים לפחות במחלקות: ילדים/ מיון ילדים וטיפול נמרץ ילדים- חובה הזדהות מקצועית גבוהה עם התחום המקצועי, ""מקצוענות"", רמת ידע גבוהה. יכולת ביטוי טובה מאד. ""ראש גדול"", אחריות מעורבות ומחויבות. יכולת ריכוז והקשבה, הבנה מהירה. מכוונות לטיפול לצד משימתיות. תושייה, יכולת קבלת החלטות במצבי לחץ (מצבים דחופים / מורכבים).יכולת השתלבות בצוות.    על פי הוראת משרד הבריאות, נדרש לבצע בדיקה במרפאה תעסוקתית והשלמת חיסונים, בהתאם לתכנית החיסונים של עובדי מערכת הבריאות. המשרה מיועדת לנשים ולגברים כאחד.",סטודנט/ית לעבודה סוציאלית המחפש/ת עבודה חלקית במסגרת רווחה.,1
"רשת הסטוק מגייסת מעצב /ת גרפי /ת למטה במודיעין בואו הצטרפו לרשת הסטוק!!יכולת עבודה עצמאית ובצוות, ראש פתוח ויצירתיות ביצועיסטית, ארגון וסדר!דרישות: השכלה רלוונטית - חובהשליטה מלאה בפוטושופ / אילוסטרייטור / אינדיזיין - חובה!ניסיון בסיסי עם אפטר אפקטס / וויקס - יתרוןצילום - יתרוןניסיון בעיצוב קטלוגים והכנה לדפוס - יתרוןידע ושימוש ב-AI (תמונות וסרטונים) - יתרון משמעותי מאוד המשרה מיועדת לנשים ולגברים כאחד.","מעצב/ת גרפי/ת עם ניסיון ב-Photoshop ו-Illustrator, יצירתי/ת ומדויק/ת.",1
"דרוש /ה  מנהל /ת משרד - טירת כרמל לחברת כוח אדם וניקיון בטירת כרמל דרוש/ה  מנהל /ת משרד אחראי/ת, בעל/ת יכולת ארגון גבוהה ויחסי אנוש מצוינים.היקף המשרה: מלאה, ימים א'-ה'מיקום המשרה: טירת כרמלתיאור התפקיד:-  ניהול שוטף של המשרד ומתן תמיכה אדמיניסטרטיבית מלאה- עבודה מול לקוחות, עובדים וספקים- התנהלות מול תחום השכר והנהלת חשבונותדרישות: - ניסיון קודם בתחום הכוח אדם / משאבי אנוש - יתרון משמעותי- ידע בחשבות שכר ו/או הנה""ח - יתרון משמעותי- ידע במערכות מחשב, שליטה טובה בExcel - חובה- סדר, דיוק ויכולת עבודה עצמאית- תקשורת ורבלית מצוינת- שירותיות, אחריות ויכולת עבודה בסביבה מרובת משימות המשרה מיועדת לנשים ולגברים כאחד.",טכנאי/ת אחזקה עם ניסיון בתחזוקת מבנים ומערכות.,1
בק אופיס לרשת בתי הכלבו הגדולה בישראל! לאגף הסחר במשרדי המשביר בנתניה דרוש/ה עובד/ת למשרת בק אופיסבמסגרת התפקיד:* ניהול קשרי לקוחות ספקים * אחריות על הקמת מבצעים* הקמת פריטים במערכת* טיפול במחירונים* תחזוקת קטלוג פריטיםדרישות: * יכולת לתפעל ולהניע לפעולה* יכולות אנליטיות וטכניות * ידע וניסיון בתוכנות אופיס- חובה* זמינות למשרה מלאה בנתניה* המשרה מיועדת לנשים ולגברים כאחד.,מתנדב/ת בעמותת בעלי חיים המחפש/ת עבודה בתחום הטיפול בחיות מחמד.,1
"חולה על אופנועים? בוא /י ללמוד מקצוע ולהשתלב במוסך מוביל! (ללא ימי שישי) למוסך בייק לייף אופנועים בתל אביב יפו, דרוש/ה עוזר/ת מכונאי / מכונאי/ת מתחיל/ה עם תשוקה אדירה לעולם הדו-גלגלי. אין לך ניסיון? לא נורא! אנחנו מחפשים אנשים עם ""ידיים טובות"", רצון עז ללמוד ולהתפתח מקצועית, ואנחנו כבר נלמד אתכם את כל השאר מאפס.למה כדאי לעבוד אצלנו?* הכשרה מלאה על חשבוננו: למידה של רזי המקצוע מהמכונאים הטובים ביותר.* תנאים מעולים ושעות נוחות: עבודה בימים א'-ה' בלבד, 08:30-17:30.* סופי שבוע חופשיים: ללא ימי שישי!* אווירה צעירה, דינמית ומשפחתית.פרטים נוספים:* המשרה מתאימה מאוד גם לחיילים/ות משוחררים/ות.* הזדמנות לקידום והתפתחות בתוך המוסך לטווח ארוך.דרישות: מה אנחנו מחפשים?- זיקה טכנית (""ידיים טובות"") ורצון ללמוד מקצוע מרתק.- רישיון נהיגה על אופנוע (A/A1) - חובה.- רצינות, דייקנות, אחריות והתמדה.- יחסי אנוש מעולים ויכולת עבודה בצוות.- המשרה מיועדת לנשים ולגברים כאחד.",נציג/ת תמיכה עם ניסיון בפתרון תלונות לקוחות ומענה מהיר.,0
"נהג /ת משקאות חברת CBC ISRAEL המייצרת ומשווקת את המותגים קוקה-קולה, קרלסברג, פריגת, נביעות ועוד - מגייסת נהגים.ות עם רישיון עד/מעל 15 טון.טעימה מהתפקיד : הובלה ואספקת סחורה לנקודות המכירה מתן שירות מקצועי ואדיב ללקוחות החברה אחריות על אספקת המוצרים האהובים ביותר בישראל מיקום המשרה: ראשון לציוןהטעם המיוחד שמחכה לך כאן: סל רווחה והטבות רחב מענקים וארוחות סביבת עבודה יציבה בחברה מובילהדרישות: רישיון נהיגה מעל 12/15טון - חובהנשמע שהמשרה מתאימה לך?בואו להיות חלק מהטעם! שלחו עכשיו קורות חיים המשרה מיועדת לנשים ולגברים כאחד.","שליח/ה עם אופנוע/רכב פרטי, זמין/ה למשמרות גמישות במהלך השבוע.",1
למכללת עתיד חיפה דרושים מרצים למגמת תעשיה וניהול למכללת עתיד חיפה דרושים מרצים למגמת תעשיה וניהולדרישות: - תואר ראשון ומעלה למגמת תעשיה וניהול - חובה!- ניסיון קודם בהוראה חובה! המשרה מיועדת לנשים ולגברים כאחד.,"גננת מוסמכת עם ניסיון בעבודה עם ילדי גן, סבלנית ויצירתית, זמינה למשרה מלאה.",1
"לאביבי מטבחים דרוש /ה פקיד /ת קבלה לסניף קרייית אתא לקבוצת אביבי מטבחים, המובילה ביצור ואספקת מטבחים בטכנולוגיות מתקדמות, עם מפעלים חדשניים, אולמות תצוגה מפוארים וקהל לקוחות רחב דרוש/ה נציג/ת קבלה לסניף קריית אתאמשרה דינאמית ומגוונתקבלת לקוחות פרונטאליתטיפול בלקוחות טלפוניתביצוע משימות אדמיניסטרטיביותעבודת צוות עם בעלי תפקידים בסניףשעות העבודה במשמרותשישי לסירוגיןדרישות: מיומנויות מחשבניסיון בשרות לקוחות - יתרוןיכולת לעבוד בריבוי משימות* המשרה מיועדת לנשים ולגברים כאחד.",עובד/ת מטבח עם ניסיון בהכנת מנות ובעבודה תחת לחץ.,1
